,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
21,VCU Rams,A-10,1878.111,+7 🟢@@6.826782227,1677.292,1885.539,70.99306
22,Texas A&M Aggies,SEC,1875.692,-26 🟠@@-26.0602417,1809.462,1936.062,65.99222
23,Michigan Wolverines,Big Ten,1875.011,+12 🟢@@12.16699219,1623.443,1933.553,73.62621
24,Ole Miss Rebels,SEC,1869.019,-5 🟠@@-5.266113281,1721.241,1950.863,73.14399
25,UC San Diego Tritons,Big West,1867.347,+16 🟢@@16.26098633,1485.011,1867.347,59.54468
26,Creighton Bluejays,Big East,1861.029,-12 🟠@@-11.73339844,1711.524,1872.762,73.9169
27,Baylor Bears,Big 12,1860.021,-6 🟠@@-6.036682129,1803.658,1897.134,47.14067
28,Drake Bulldogs,MVC,1857.015,+16 🟢@@15.54052734,1680.209,1857.015,59.47573
29,Marquette Golden Eagles,Big East,1855.254,-13 🟠@@-13.34820557,1833.97,1952.259,67.06656
30,UCLA Bruins,Big Ten,1851.142,-20 🟠@@-19.66906738,1717.518,1870.811,74.97391
31,Boise St.,MWC,1848.289,+26 🟢@@26.23419189,1709.3,1848.289,67.20248
32,North Carolina Tar Heels,ACC,1846.096,-4 🟠@@-3.837158203,1757.484,1885.76,62.27146
33,Memphis Tigers,AAC,1843.136,+3 🟢@@2.885742188,1661.928,1843.136,84.99876
34,Illinois Fighting Illini,Big Ten,1842.026,-38 🟠@@-37.52880859,1770.212,1946.755,71.27821
35,New Mexico Lobos,MWC,1841.26,-15 🟠@@-14.68603516,1673.164,1868.616,88.63853
36,Kentucky Wildcats,SEC,1838.218,-26 🟠@@-26.34484863,1782.982,1864.563,79.2058
37,Oregon Ducks,Big Ten,1837.266,-8 🟠@@-8.105529785,1714.598,1883.903,51.18669
38,Arkansas Razorbacks,SEC,1834.295,-10 🟠@@-9.837219238,1717.372,1844.132,84.5885
39,Xavier Musketeers,Big East,1829.755,-9 🟠@@-8.643493652,1672.723,1838.398,84.08477
40,Missouri Tigers,SEC,1825.122,-11 🟠@@-10.91784668,1536.769,1892.592,85.06064
41,Colorado State Rams,MWC,1824.549,-26 🟠@@-26.23419189,1617.255,1850.783,60.41494
42,Purdue Boilermakers,Big Ten,1801.474,-45 🟠@@-45.22491455,1801.474,1939.656,108.5121
43,Georgia Bulldogs,SEC,1798.305,-22 🟠@@-21.80511475,1678.307,1820.11,58.87895
44,Liberty Flames,CUSA,1789.955,+17 🟢@@17.04943848,1470.762,1789.955,51.41064
45,Indiana,Big Ten,1770.691,-29 🟠@@-29.15637207,1660.627,1799.847,85.58305
46,Mississippi State Bulldogs,SEC,1770.481,-26 🟠@@-26.28491211,1752.094,1918.646,65.28079
47,San Diego St.,MWC,1768.265,-27 🟠@@-27.36804199,1710.24,1814.669,62.49776
48,George Mason,A-10,1764.332,+18 🟢@@17.78369141,1601.062,1782.294,59.29303
49,Yale Bulldogs,Ivy,1758.09,+3 🟢@@2.867614746,1602.344,1779.743,53.0277
50,Oklahoma Sooners,SEC,1757.755,-6 🟠@@-5.697631836,1696.61,1809.397,85.9249
51,SMU,ACC,1755.255,-4 🟠@@-4.305419922,1632.717,1799.586,53.93396
52,High Point Panthers,Big South,1752.224,+15 🟢@@14.9317627,1561.569,1752.224,64.68682
53,Utah State Aggies,MWC,1745.824,-20 🟠@@-19.76226807,1722.758,1845.13,94.32029
54,Wake Forest,ACC,1743.786,-16 🟠@@-16.1673584,1708.869,1836.357,75.7925
55,Northwestern,Big Ten,1743.685,-12 🟠@@-12.33422852,1663.448,1777.71,25.99792
56,Villanova,Big East,1740.143,-16 🟠@@-16.32128906,1580.96,1764.393,60.57116
57,UC Irvine,Big West,1738.846,-16 🟠@@-16.26098633,1600.432,1783.392,50.82607
58,Texas,SEC,1735.848,-7 🟠@@-6.522216797,1678.414,1841.434,61.25423
59,Dayton,A-10,1735.662,-18 🟠@@-18.13317871,1674.52,1834.577,88.71178
60,Santa Clara,WCC,1734.24,-25 🟠@@-24.5413208,1506.542,1789.716,26.37903
61,San Francisco,WCC,1731.758,-4 🟠@@-3.766174316,1625.552,1757.02,50.91813
62,Grand Canyon Lopes,WAC,1727.855,+16 🟢@@16.4085083,1611.618,1727.855,63.07624
63,Penn St.,Big Ten,1722.962,+64 🟢@@63.94055176,1601.517,1788.056,66.10199
64,Ohio St.,Big Ten,1722.13,-22 🟠@@-22.0848999,1722.13,1833.699,70.99506
